treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_GR_Diety_Bhaal",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Corellon",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Cyric",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Eilistraee",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Garl_Glittergold",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Gond",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Gruumsh",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Helm",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Ilmater",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Jergal",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Kelemvor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Kereska",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Laduguer",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Lathander",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Lolth",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Loviatar",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Maglubiyet",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Mielikki",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Milil",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Moradin",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Myrkul",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Mystra",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Oghma",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Selune",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Shar",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Silvanus",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Talos",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Tempus",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Tiamat",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Tymora",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Tyr",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Umberlee",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Vlaakith",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Waukeen",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Yondalla",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_ButterflyRings"
CanMerge 1
new subtable "-1"
object category "I_GLR_ButterflyRing_ActOneKeys",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ActThreeKeys",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ActTwoKeys",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ArmorBoostLeveled",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ArmorOnDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_BrandedTadpole",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_BrandedWealth",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_CausticBulb",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_CloudStrength",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ClubHillGiantStrength",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_CounterSpell",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_DimensionDoor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_EmptyBarrells",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_Fly",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ForbiddenKnowledgePack",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_GaseousForm",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_GiantWetAllergy",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_GustofWind",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_HillGiantStrength",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_HPBoost",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_HPBrandedBoost",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_IceSpell",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_JumpBoost",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_KarabasansPoison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_KionDamaged",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_LavaImmune",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_LavaPool",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_LightningSpell",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MeleeFire_SpellChill",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MindFlayerTadpole",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MindReadingPotion",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MoonlightButterflies",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MovementSpeed",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MuddyonHit",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_MusicTools",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_PainIsPleasure",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ParalyzeStrikes",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_PotionofSpeed",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_PunchAndKick",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_RampartForce",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ringofvalue_5000",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_SanguineExplosives",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_SecondWind",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ShrinkonBurning",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_SuperiorHealing",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_SussurTreeBark",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_ThrowRocks",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_VariedWealth",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_WetPuddle",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_WildSpeak",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_Ambience"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofCharisma",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Ambience_ofConstitution",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Ambience_ofDexterity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Ambience_ofIntelligence",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Ambience_ofStrength",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Ambience_ofWisdom",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_AoERings"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Acid",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Cold",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Fire",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Force",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Lightning",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Necrotic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Poison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Psychic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Radiant",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Thunder",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_ImportantRings"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_Base",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAllResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageAll",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBonus_ChaosFollows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBonus_SteppedinBliss",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_GithyankiParry_Supreme",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInvulnerability",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunity",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_ValueRings"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue12K",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue1314",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue15K",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue2222",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue420",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue4599",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue666",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue8888",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Critical_Hit_GoldBag_Reward"
CanMerge 1
new subtable "50,1"
object category "I_OBJ_GoldCoin",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Kill_GoldBag_Reward"
CanMerge 1
new subtable "100,1"
object category "I_OBJ_GoldCoin",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Downed_GoldBag_Reward"
new subtable "75,1"
object category "I_OBJ_GoldCoin",1,0,0,0,0,0,0,0
new treasuretable "DEN_BardChest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Proficiency",1,0,0,0,0,0,0,0
new treasuretable "FOR_ThayanCellar_JewelledChest_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_SavingThrows",1,0,0,0,0,0,0,0
new treasuretable "GOB_Minthara_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Resistance",1,0,0,0,0,0,0,0
new treasuretable "HAG_Lair_RingChest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_DamagePlus1",1,0,0,0,0,0,0,0
new treasuretable "PLA_Tollhouse_Secret_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusOne",1,0,0,0,0,0,0,0
new treasuretable "UND_KC_LavaElemental"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_StatusImmunity",1,0,0,0,0,0,0,0
new treasuretable "CRE_Temple_Buried_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Reaction",1,0,0,0,0,0,0,0
new treasuretable "WLD_CRA_RidgeSecretChest"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue420",1,0,0,0,0,0,0,0
new treasuretable "DEN_HayChest"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue666",1,0,0,0,0,0,0,0
new treasuretable "GOB_WaterfallChest"
CanMerge 1
new subtable "-1"
object category "I_I_Granny_Loot_Ring_ofValue1314",1,0,0,0,0,0,0,0
new treasuretable "UND_KC_Mimic_BardReward"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue2222",1,0,0,0,0,0,0,0
new treasuretable "HAG_WoodWoad_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBonus_ChaosFollows",1,0,0,0,0,0,0,0
new treasuretable "MOO_SecretStudyTreasure_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_DamageImmunity",1,0,0,0,0,0,0,0
new treasuretable "SCL_GithOliver_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage_Elemental",1,0,0,0,0,0,0,0
new treasuretable "SHA_LastJusticiar_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage",1,0,0,0,0,0,0,0
new treasuretable "TWN_Surgeon_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Advantage",1,0,0,0,0,0,0,0
new treasuretable "HAV_TavernHiddenPlank"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusTwo",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GLR_ButterflyRing_EmptyBarrells",1,0,0,0,0,0,0,0
new treasuretable "MOO_KethericCombat_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Spells",1,0,0,0,0,0,0,0
new treasuretable "SCl_VlaakithKiller_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_GithyankiParry_Supreme",1,0,0,0,0,0,0,0
new treasuretable "COL_VaultPod1_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBonus_SteppedinBliss",1,0,0,0,0,0,0,0
new treasuretable "SCL_AbsoluteEntraceFort_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue4599",1,0,0,0,0,0,0,0
new treasuretable "SCL_DistilleryAlchemyChest_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue8888",1,0,0,0,0,0,0,0
new treasuretable "MOO_MimicReward"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue12K",1,0,0,0,0,0,0,0
new treasuretable "SCL_TollHouseCollectorRichChest_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofValue15K",1,0,0,0,0,0,0,0
new treasuretable "WYR_SmugglerCave_Basement_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_Base",1,0,0,0,0,0,0,0
new treasuretable "WYR_JungleOfChult_Arcanic_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInvulnerability",1,0,0,0,0,0,0,0
new treasuretable "LOW_CountingHouse_CommonVault_4_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusThree",1,0,0,0,0,0,0,0
new treasuretable "LOW_CountingHouse_CommonVault_3_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunity",1,0,0,0,0,0,0,0
new treasuretable "LOW_CountingHouse_CommonVault_2_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAllResistance",1,0,0,0,0,0,0,0
new treasuretable "LOW_CountingHouse_CommonVault_1_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageAll",1,0,0,0,0,0,0,0
new treasuretable "CRE_MagicItem_Gith_Trader"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofShadowCurseImmunity",1,0,0,0,0,0,0,0
new treasuretable "UND_MycoVillage_AlchemistDwarf_Trade_Magic"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Acid",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Cold",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Fire",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Force",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Lightning",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Necrotic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Poison",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Psychic",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Radiant",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ringof_AoE_Thunder",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GLR_JewelryCraftingkit",1,0,0,0,0,0,0,0
new treasuretable "FOR_SchoolOgre_Smart_Corpse"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofCharisma",1,0,0,0,0,0,0,0
new treasuretable "PLA_Zhentarim_LockedRoom_Treasure"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofConstitution",1,0,0,0,0,0,0,0
new treasuretable "UND_KC_AdamantineGolem"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofDexterity",1,0,0,0,0,0,0,0
new treasuretable "HAV_HoneymoonLodge_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofIntelligence",1,0,0,0,0,0,0,0
new treasuretable "SHA_Orthon_Chest"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofWisdom",1,0,0,0,0,0,0,0
new treasuretable "SCL_BannedSeluneItem"
CanMerge 1
new subtable "-1"
object category "I_Granny_Ambience_ofStrength",1,0,0,0,0,0,0,0
new treasuretable "DEN_Apprentice_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_Rewards_Vengeful_Nettie",1,0,0,0,0,0,0,0
new treasuretable "SHA_NightsongReward"
CanMerge 1
new subtable "-1"
object category "I_GR_Rewards_Regen_Aura_v2",1,0,0,0,0,0,0,0
new treasuretable "DEN_GoblinHunt_RewardBag"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Worthy_Lure_Ring",1,0,0,0,0,0,0,0
new treasuretable "DEN_IdolTheft_ReturnForReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Velvet_Ambition_Ring",1,0,0,0,0,0,0,0
new treasuretable "DEN_Squirrel_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Stunning_Shield_Ring",1,0,0,0,0,0,0,0
new treasuretable "DEN_Stargazer"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Pristine_Whisper_Ring",1,0,0,0,0,0,0,0
new treasuretable "FOR_VillageFightReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Royal_Crux_Ring",1,0,0,0,0,0,0,0
new treasuretable "GOB_SpiderPit_RewardSkeleton"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Pure_Stone_Ring",1,0,0,0,0,0,0,0
new treasuretable "HAV_SavingPrisoners_AlfirasReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Lustrous_Wish_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_AvengeHagSurvivors_QuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Idle_Mark_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_AvengeWaveservant_WaveservantReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Grand_Prospect_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_BreakHagHex_QuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Flawless_Blossom_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_OmeluumSupplies_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Exotic_Riddle_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_SaveHaggedChild_LoraQuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Devoted_Glamour_Ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_SaveHope_QuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Crystal_Spirit_Ring",1,0,0,0,0,0,0,0
new treasuretable "MOO_StudyReward_Chest"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Brave_Aura_Ring",1,0,0,0,0,0,0,0
new treasuretable "PLA_ZhentarimShipment_ExtraReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Adored_Will_Ring",1,0,0,0,0,0,0,0
new treasuretable "SCL_ServantOfTheRaven_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Serpent_Root_Ring",1,0,0,0,0,0,0,0
new treasuretable "SHA_FindArabellasParents_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Shadow_Panther_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_MushroomHunter_QuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Quiet_Glamour_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_MyconidRevenge_QuestReward_Evil"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Serpentine_Hum_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_MyconidRevenge_QuestReward_Good"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Perfect_Flower_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_MycoVillage_BroodingSovereign_QuestReward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Defiant_Twin_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_Spectator_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Faint_Beauty_Ring",1,0,0,0,0,0,0,0
new treasuretable "UND_Tower_SecretCellar_RewardChest"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Happy_Lily_Ring",1,0,0,0,0,0,0,0
new treasuretable "WYR_SharessCaress_Nymph_Reward"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Broken_Resolve_Ring",1,0,0,0,0,0,0,0
new treasuretable "DEN_Ethel"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_rat_ring",1,0,0,0,0,0,0,0
new treasuretable "SCL_TollHouseCollectorHeavyChest_Treasure"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_money_pink_ring",1,0,0,0,0,0,0,0
new treasuretable "WYR_Danthelon_Trader"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_ice_ring",1,0,0,0,0,0,0,0
new treasuretable "CRE_Expeditioner_Magic_Trade"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_thunder_ring",1,0,0,0,0,0,0,0
new treasuretable "WYR_FigaroSister_Trader"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_pink_ring",1,0,0,0,0,0,0,0
new treasuretable "GOB_Festivities_Trader"
CanMerge 1
new subtable "-1"
object category "I_GRI_SpiderJunkie_Ring_Jan13",1,0,0,0,0,0,0,0
new treasuretable "HAV_Thiefling_Ide_Trade"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_wind_ring",1,0,0,0,0,0,0,0
new treasuretable "HAV_UnfortunateGnome_Magic_Trade"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_fire_ring",1,0,0,0,0,0,0,0
new treasuretable "HAV_Weaponsmith_Trade"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_water_ring",1,0,0,0,0,0,0,0
new treasuretable "MOO_BugBearvendor_Trade"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_fireandice_ring",1,0,0,0,0,0,0,0
new treasuretable "LOW_DevilsFee_Diabolist_Trade_Magic"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_galaxy_ring",1,0,0,0,0,0,0,0
new treasuretable "MOO_InfernalTrader_SpecialStock"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRubbish",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_GLR_JewelryCraftingkit",1,0,0,0,0,0,0,0
new treasuretable "LOW_JewelTrader"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_static_ring",1,0,0,0,0,0,0,0
new treasuretable "SHA_HiddenRoom_Magic_Chest"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_lightning_ring",1,0,0,0,0,0,0,0
new treasuretable "SCL_MorgueHidden_Chest"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_poison_ring",1,0,0,0,0,0,0,0
new treasuretable "CRE_RooftopExploration_Chest"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_psychic_ring",1,0,0,0,0,0,0,0
new treasuretable "SCL_Supplies_Trader"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_snake_ring",1,0,0,0,0,0,0,0
new treasuretable "MOO_ZhentQuartermaster"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Bahamut",1,0,0,0,0,0,0,0
new treasuretable "WYR_FlamingFist_Quartermaster_Trade"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Bane",1,0,0,0,0,0,0,0
new treasuretable "COL_Morgue_Butcher"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Bhaal",1,0,0,0,0,0,0,0
new treasuretable "FOR_ThayanCellar_Coffin_First"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Corellon",1,0,0,0,0,0,0,0
new treasuretable "WLD_Boar"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Cyric",1,0,0,0,0,0,0,0
new treasuretable "FOR_Spiders_SpiderQueen"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Eilistraee",1,0,0,0,0,0,0,0
new treasuretable "UND_Minotaur_Armed"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Garl_Glittergold",1,0,0,0,0,0,0,0
new treasuretable "LOW_CountingShouse_Vault9_Treasure"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Gond",1,0,0,0,0,0,0,0
new treasuretable "CRA_HarperTreasureBox"
CanMerge 1
new subtable "-1"
